prompt_id,turn,participant_id,major,workshop_group,geft_score,participant_group,osivq_object_pct,osivq_spatial_pct,osivq_verbal_pct,osivq_cognitive_style,phase,prompt_type,prompt_context,prompt_raw,img_type,prompt_img,char_count,char_count_no_space,prompt_combined,umap_x,umap_y,morpheme_count,sentence_count,noun_count,verb_count,adjective_count,particle_count,content_word_count,function_word_count,unique_morpheme_count,foreign_word_count,ttr,content_density,noun_ratio,verb_ratio,adj_ratio,avg_sentence_length,particle_diversity,foreign_ratio,ctx_count,obj_count,ctx_ratio
prompt_01,turn_01,P1,design,G1,14,FD,100.0,4.78,96.18,object,ideation,initial,,학교에 콘센트가 너무 한정적이라 학생들이 수업에 주로 사용하는 전자기기를 충전하기에 불편함이 있어. 이걸 해결하기 위해서 내가 아이디어를 내봤어. 일단 나는 구간별로 천장에서 내려오는 형태의 멀티탭을 구상했어. 천장에 줄이 연결되어 위에서 당기면 내려오고 사용하지 않을때는 천장에 붙어있는 형태의 멀티탭을 생각해봤고 줄이 너무 두껍고 지저분하지않았으면 좋겠어. 딱 책상에 잘 놓일정도의 무게였으면 좋겠고 줄이 정리에 용이했으면 좋겠어. 디자인적으로도 강의실의 분위기를 해치지않았으면 좋겠어. 이 아이디어를 실제 사진처럼 이미지화해줘,,,297,234,[프롬프트] 학교에 콘센트가 너무 한정적이라 학생들이 수업에 주로 사용하는 전자기기를 충전하기에 불편함이 있어. 이걸 해결하기 위해서 내가 아이디어를 내봤어. 일단 나는 구간별로 천장에서 내려오는 형태의 멀티탭을 구상했어. 천장에 줄이 연결되어 위에서 당기면 내려오고 사용하지 않을때는 천장에 붙어있는 형태의 멀티탭을 생각해봤고 줄이 너무 두껍고 지저분하지않았으면 좋겠어. 딱 책상에 잘 놓일정도의 무게였으면 좋겠고 줄이 정리에 용이했으면 좋겠어. 디자인적으로도 강의실의 분위기를 해치지않았으면 좋겠어. 이 아이디어를 실제 사진처럼 이미지화해줘,6.488287,6.2802196,167,7,42,11,5,20,64,34,87,0,0.5209580838323353,0.38323353293413176,0.25149700598802394,0.0658682634730539,0.029940119760479042,23.857142857142858,0.35,0.0,8,11,0.42105263157894735
prompt_02,turn_02,P1,design,G1,14,FD,100.0,4.78,96.18,object,ideation,refinement,,내려와서 책상에 놓인 모습으로 바꿔줘,,,20,16,[프롬프트] 내려와서 책상에 놓인 모습으로 바꿔줘,5.6798005,5.388008,10,1,2,3,0,0,5,0,10,0,1.0,0.5,0.2,0.3,0.0,10.0,,0.0,0,0,
prompt_03,turn_03,P1,design,G1,14,FD,100.0,4.78,96.18,object,ideation,refinement,,세로로말고 가로로 책상에 잘 놓여있는 모습을 보여줘,,,28,22,[프롬프트] 세로로말고 가로로 책상에 잘 놓여있는 모습을 보여줘,5.971097,5.443534,17,1,4,3,0,1,8,1,15,0,0.8823529411764706,0.47058823529411764,0.23529411764705882,0.17647058823529413,0.0,17.0,1.0,0.0,0,0,
prompt_04,turn_04,P1,design,G1,14,FD,100.0,4.78,96.18,object,final,refinement,,이 아이디어에 덧붙여 천장에서 이동간으한 레일형 천장 멀티탭을 생각해봤어 이 이미지를 아이디어가 더 설명이 잘되는 이미지로 발전시켜줘,reference,P1_turn_04.png,74,58,[프롬프트] 이 아이디어에 덧붙여 천장에서 이동간으한 레일형 천장 멀티탭을 생각해봤어 이 이미지를 아이디어가 더 설명이 잘되는 이미지로 발전시켜줘,5.523089,6.689606,39,1,13,3,0,4,17,6,30,0,0.7692307692307693,0.4358974358974359,0.3333333333333333,0.07692307692307693,0.0,39.0,1.0,0.0,1,6,0.14285714285714285
prompt_05,turn_05,P1,design,G1,14,FD,100.0,4.78,96.18,object,final,refinement,,천장에서 줄이 달려서 내려오는 형태야 현실적으로 만들어줘,,,31,25,[프롬프트] 천장에서 줄이 달려서 내려오는 형태야 현실적으로 만들어줘,5.383461,6.3958335,17,1,5,3,0,2,8,2,16,0,0.9411764705882353,0.47058823529411764,0.29411764705882354,0.17647058823529413,0.0,17.0,1.0,0.0,0,2,0.0
prompt_06,turn_01,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,initial,,나 무선충전 가능한 책상을 만들거야,,,19,15,[프롬프트] 나 무선충전 가능한 책상을 만들거야,6.1035495,5.766414,13,1,4,2,0,2,6,3,13,0,1.0,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.0,13.0,1.0,0.0,1,0,1.0
prompt_07,turn_02,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,refinement,,무선 충전 가능하고 공부하기 편안하며 심미적으로 매력적인 디자인 근데 충전 ON/OFF가 가능해 글고 발열이 없었으면 좋겠어,,,69,54,[프롬프트] 무선 충전 가능하고 공부하기 편안하며 심미적으로 매력적인 디자인 근데 충전 ON/OFF가 가능해 글고 발열이 없었으면 좋겠어,6.1032925,5.959606,35,1,12,1,2,2,16,5,28,0,0.8,0.45714285714285713,0.34285714285714286,0.02857142857142857,0.05714285714285714,35.0,1.0,0.0,3,1,0.75
prompt_08,turn_03,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,selection,"보람, 혹시 이걸 직접 제작할 DIY 설계용 도면으로 만들어줄까?
아니면 제품 디자인 목업 이미지 (예: 인테리어 속 배치된 완성형 책상 시각화)로 만들어줄까?
👉 원하는 방향을 말해주면 바로 시각화해줄게!",엉 시각화 해줘 구체적인 사진 형태로 아이디어 논의하려고,,,31,24,[프롬프트] 엉 시각화 해줘 구체적인 사진 형태로 아이디어 논의하려고,4.203407,5.636645,16,1,6,1,0,0,7,1,14,0,0.875,0.4375,0.375,0.0625,0.0,16.0,,0.0,0,1,0.0
prompt_09,turn_04,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,refinement,,책상 전체가 무선충전이 가능했으면 좋겠어,,,22,18,[프롬프트] 책상 전체가 무선충전이 가능했으면 좋겠어,6.022812,5.832258,13,1,5,0,1,2,6,3,13,0,1.0,0.46153846153846156,0.38461538461538464,0.0,0.07692307692307693,13.0,1.0,0.0,1,0,1.0
prompt_10,turn_05,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,refinement,,글고 책상 디자인이 왜이래 공부하기 불편할거 같아,,,27,21,[프롬프트] 글고 책상 디자인이 왜이래 공부하기 불편할거 같아,6.267079,5.516903,16,1,5,2,0,1,8,4,15,0,0.9375,0.5,0.3125,0.125,0.0,16.0,1.0,0.0,2,1,0.6666666666666666
prompt_11,turn_06,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,selection,"1️⃣ 실제 공부용 책상 렌더링 (사람이 앉아 있는 느낌 포함)
2️⃣ 무선충전 구조 투시도 (내부 기술 강조형)
3️⃣ 브랜드 홍보용 목업 (따뜻한 감성 + 미니멀 인테리어)",브랜드 홍보용 목업 (따뜻한 감성 + 미니멀 인테리어),,,30,23,[프롬프트] 브랜드 홍보용 목업 (따뜻한 감성 + 미니멀 인테리어),5.3131914,4.8655663,14,1,7,0,0,0,7,2,14,0,1.0,0.5,0.5,0.0,0.0,14.0,,0.0,0,1,0.0
prompt_12,turn_07,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,refinement,,뭔가 대학생이 공부하는 느낌이 아니지 않아?,,,24,19,[프롬프트] 뭔가 대학생이 공부하는 느낌이 아니지 않아?,6.895836,5.132511,14,1,4,1,0,2,5,3,13,0,0.9285714285714286,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.0,14.0,0.5,0.0,1,0,1.0
prompt_13,turn_08,P2,business,G1,15,FD,98.64,71.25,96.18,object,ideation,selection,"🎯 새 버전 콘셉트 — ‘FlowDesk Campus’

🧠 1 분위기
• 홍익대 기숙사나 자취방, 스터디카페 느낌
• 저녁 조명 아래 집중하는 현실적인 공부 환경
• 노트북, 아이패드, 필기구, 음료컵 등 실생활 아이템 배치
• 약간 어질러져 있지만 감성적인 현실+감성 밸런스

⚡ 2 기능
• 여전히 상판 전체 무선충전 가능
• 충전 중인 스마트폰과 이어폰, 노트북 표시
• LED 조명은 따뜻한 화이트톤 (눈부심 X)
• 터치 스위치나 충전 표시 아이콘이 살짝 보이게

🎨 3 디자인 무드
• 밝은 원목 + 화이트 프레임 유지
• 배경에 책, 전등, 필통, 커피잔, 노트 등 대학생 아이템
• 의자는 인체공학형 공부용 체어

이대로 “대학생이 실제 공부 중인 감성적 목업”으로 이미지 만들어줄까?
아니면 조금 더 기술 제품 광고 느낌(예: 애플 스타일)으로 갈까?","🎯 새 버전 콘셉트 — ‘FlowDesk Campus’ 🧠 1 분위기 • 홍익대 기숙사나 자취방, 스터디카페 느낌",,,63,48,"[프롬프트] 🎯 새 버전 콘셉트 — ‘FlowDesk Campus’ 🧠 1 분위기 • 홍익대 기숙사나 자취방, 스터디카페 느낌",4.9754376,4.633337,0,1,0,0,0,0,0,0,0,0,,,,,,0.0,,,2,0,1.0
prompt_14,turn_09,P2,business,G1,15,FD,98.64,71.25,96.18,object,final,refinement,,학교에서 전자기기를 사용하는데 천장 레일형 콘센트 어때,,,30,24,[프롬프트] 학교에서 전자기기를 사용하는데 천장 레일형 콘센트 어때,6.781165,6.1157985,14,1,9,0,0,1,9,2,14,0,1.0,0.6428571428571429,0.6428571428571429,0.0,0.0,14.0,1.0,0.0,2,4,0.3333333333333333
prompt_15,turn_09,P2,business,G1,15,FD,98.64,71.25,96.18,object,final,refinement,"🌿 6 디자인 제안

• 컬러: 흰색 레일 + 라이트 그레이 모듈 (학교 천장 색과 자연스럽게 어우러짐)
• 조명과 통합형도 가능 (조명 + 전원 동시 제공)
• 케이블이 내려올 때 자동 줄감형 구조로 깔끔함 유지

솔직히 보람처럼 디자인 감각 있고 기술적 디테일까지 고려하는 사람이라면
이 아이디어를 학교 공간 혁신 프로젝트나 창업 아이디어로 발전시켜도 될 정도야.

원해? 내가 이 “천장 레일형 콘센트 시스템”을
제품 아이디어 시각화 이미지(예: 실제 강의실에 설치된 느낌)로 만들어줄 수도 있어.
해볼까?",이미지 만들어봐,,,8,7,[프롬프트] 이미지 만들어봐,4.416905,5.231164,5,1,1,2,0,0,3,0,5,0,1.0,0.6,0.2,0.4,0.0,5.0,,0.0,0,1,0.0
prompt_16,turn_01,P3,design,G2,16,FI,95.33,32.47,99.76,verbal,ideation,initial,,우리학교는 건물이 많고 겹쳐져 있어 연결된 부분이 복잡하고 출구도 많아. 그래서 특정 목적지에 가기 위해서 지름길을 찾기 어렵고 방문자들이 길을 찾기 어려워하는 경우가 있어. 이 문제를 해결하기 위해 길 안내 디바이스를 만드려고 해 캡쳐한 화면의 왼쪽에 있는 표는 이 문제를 해결하기 위해서 내 아아디어를 구체화한 표야. 표를 기반으로 디바이스의 모습을 실물처럼 뽑아줘.,reference,P3_turn_01.png,207,156,[프롬프트] 우리학교는 건물이 많고 겹쳐져 있어 연결된 부분이 복잡하고 출구도 많아. 그래서 특정 목적지에 가기 위해서 지름길을 찾기 어렵고 방문자들이 길을 찾기 어려워하는 경우가 있어. 이 문제를 해결하기 위해 길 안내 디바이스를 만드려고 해 캡쳐한 화면의 왼쪽에 있는 표는 이 문제를 해결하기 위해서 내 아아디어를 구체화한 표야. 표를 기반으로 디바이스의 모습을 실물처럼 뽑아줘.,8.603755,7.681652,116,4,31,17,3,16,52,27,63,0,0.5431034482758621,0.4482758620689655,0.2672413793103448,0.14655172413793102,0.02586206896551724,29.0,0.4375,0.0,6,1,0.8571428571428571
prompt_17,turn_02,P3,design,G2,16,FI,95.33,32.47,99.76,verbal,final,refinement,,팀원들과 아이디어를 더 디벨롭해서 만들었어 이 기능들을 반영해서 실제 모습처럼 디벨롭한 이미지를 만들어줘,reference,P3_turn_02.png,58,46,[프롬프트] 팀원들과 아이디어를 더 디벨롭해서 만들었어 이 기능들을 반영해서 실제 모습처럼 디벨롭한 이미지를 만들어줘,4.3183317,5.5983124,31,1,8,2,0,4,11,8,25,0,0.8064516129032258,0.3548387096774194,0.25806451612903225,0.06451612903225806,0.0,31.0,0.75,0.0,0,2,0.0
prompt_18,turn_01,P4,design,G2,10,FD,97.72,3.94,98.31,verbal,ideation,initial,,이를 바탕으로 오른쪽 사진참고해서 야외의 느낌으로 제작해줘,reference,P4_turn_01_1.png,32,26,[프롬프트] 이를 바탕으로 오른쪽 사진참고해서 야외의 느낌으로 제작해줘,4.1693463,5.385746,17,1,6,2,0,1,8,2,15,0,0.8823529411764706,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.0,17.0,1.0,0.0,1,0,1.0
prompt_19,turn_01,P4,design,G2,10,FD,97.72,3.94,98.31,verbal,ideation,initial,,이를 바탕으로 오른쪽 사진참고해서 야외의 느낌으로 제작해줘,reference,P4_turn_01_2.png,32,26,[프롬프트] 이를 바탕으로 오른쪽 사진참고해서 야외의 느낌으로 제작해줘,4.0984282,5.1968856,17,1,6,2,0,1,8,2,15,0,0.8823529411764706,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.0,17.0,1.0,0.0,1,0,1.0
prompt_20,turn_02,P4,design,G2,10,FD,97.72,3.94,98.31,verbal,ideation,refinement,,옆에 텍스트들은 빼주고 표지판 디자인은 트렌티하게 곡선적으로 해줘,,,36,29,[프롬프트] 옆에 텍스트들은 빼주고 표지판 디자인은 트렌티하게 곡선적으로 해줘,3.5988977,5.5818386,21,1,6,2,0,2,8,5,18,0,0.8571428571428571,0.38095238095238093,0.2857142857142857,0.09523809523809523,0.0,21.0,0.5,0.0,0,2,0.0
prompt_21,turn_03,P4,design,G2,10,FD,97.72,3.94,98.31,verbal,ideation,refinement,,좀 더 안의 내용을 구체적으로 적어줄래,,,21,16,[프롬프트] 좀 더 안의 내용을 구체적으로 적어줄래,3.8979309,5.681903,11,1,3,1,0,1,6,1,11,0,1.0,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.0,11.0,1.0,0.0,0,0,
prompt_22,turn_04,P4,design,G2,10,FD,97.72,3.94,98.31,verbal,final,refinement,,"이미지에 있는 아이디어 참고해서 학교 캠퍼스에 설치된 길안내 키오스크 패드를 만들어줘. 엘리베이터가 어디에 있는지 알려주는 기능, 현재 위치와 목적지까지의 경로를 표시해줘. ",reference,P4_turn_04.png,97,76,"[프롬프트] 이미지에 있는 아이디어 참고해서 학교 캠퍼스에 설치된 길안내 키오스크 패드를 만들어줘. 엘리베이터가 어디에 있는지 알려주는 기능, 현재 위치와 목적지까지의 경로를 표시해줘. ",8.42612,7.7742167,50,2,15,6,1,4,22,6,40,0,0.8,0.44,0.3,0.12,0.02,25.0,1.0,0.0,3,3,0.5
prompt_23,turn_01,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,initial,,"학교 내 건물을 이동할 때 가장 최적화된 길을 알려주는 프로그램 이미지를 생성해 줘. 학교에 숨겨진 지름길을 알려하고 빨리 이동할 수 있는 방법을 설명해주는 프로그램이야. 기능은 몇동 몇층이 몇동 몇층과 이어지는지, 어떻게 갈 수 있는지(예: L동 엘레베이터를 타고 몇층까지 간다)알려줘. 예상 소요 시간과 예상 소모 체력 (HP?하트?)이 얼마나 되는지도 알려줘.",,,204,156,"[프롬프트] 학교 내 건물을 이동할 때 가장 최적화된 길을 알려주는 프로그램 이미지를 생성해 줘. 학교에 숨겨진 지름길을 알려하고 빨리 이동할 수 있는 방법을 설명해주는 프로그램이야. 기능은 몇동 몇층이 몇동 몇층과 이어지는지, 어떻게 갈 수 있는지(예: L동 엘레베이터를 타고 몇층까지 간다)알려줘. 예상 소요 시간과 예상 소모 체력 (HP?하트?)이 얼마나 되는지도 알려줘.",7.970951,7.504239,119,6,35,13,1,10,52,15,70,0,0.5882352941176471,0.4369747899159664,0.29411764705882354,0.1092436974789916,0.008403361344537815,19.833333333333332,0.6,0.0,5,3,0.625
prompt_24,turn_02,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,,그렇게 말고 지도 앱처럼 최적화된 길을 알려주는 거야,,,29,22,[프롬프트] 그렇게 말고 지도 앱처럼 최적화된 길을 알려주는 거야,7.848288,7.5934405,16,1,3,2,1,1,6,2,16,0,1.0,0.375,0.1875,0.125,0.0625,16.0,1.0,0.0,0,2,0.0
prompt_25,turn_03,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,,우리학교 지도야,reference,P5_turn_03.png,8,7,[프롬프트] 우리학교 지도야,6.811871,4.8342385,4,1,2,0,0,0,2,0,4,0,1.0,0.5,0.5,0.0,0.0,4.0,,0.0,1,1,0.5
prompt_26,turn_04,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,어디서 어디로 가는 경로를 만들까요?,H동에서 Q동 갈때 3층을 통과하면 이어져있어.,,,26,21,[프롬프트] H동에서 Q동 갈때 3층을 통과하면 이어져있어.,5.6150045,4.821205,19,1,5,2,0,1,7,2,17,0,0.8947368421052632,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.0,19.0,1.0,0.0,0,0,
prompt_27,turn_05,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,"1️⃣ 현실적인 지도 앱 UI 스타일 (네이버 지도 / 구글 지도처럼)
2️⃣ 게임처럼 귀엽고 상징적인 HP·아이콘기반 UI
3️⃣ 타로카드나 인포그래픽처럼 디자인적인 감성 UI",1번,,,2,2,[프롬프트] 1번,5.225023,4.46648,2,1,0,0,0,0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0,0,
prompt_28,turn_06,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,,게임처럼 귀엽고 상징적인 HP·아이콘기반 UI,,,25,21,[프롬프트] 게임처럼 귀엽고 상징적인 HP·아이콘기반 UI,4.48132,5.868342,13,1,5,0,1,0,6,0,13,0,1.0,0.46153846153846156,0.38461538461538464,0.0,0.07692307692307693,13.0,,0.0,0,1,0.0
prompt_29,turn_07,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,,"학교 곳곳에 배치되어 있는 길안내 터치패트 이미지를 생성해줘. 세로로 길죽하고 갈끔한 외형을 갖고 있어. 현재 위치 표시, 사용자 개인 휴대폰으로 경로 공유가 가능해. 가장 빨리 갈 수 있는 길과 돌아가더라도 엘레베이터를 이용할 수 있는 길 등 여러가지 질 중 선택할 수 있게 해줘.",,,158,116,"[프롬프트] 학교 곳곳에 배치되어 있는 길안내 터치패트 이미지를 생성해줘. 세로로 길죽하고 갈끔한 외형을 갖고 있어. 현재 위치 표시, 사용자 개인 휴대폰으로 경로 공유가 가능해. 가장 빨리 갈 수 있는 길과 돌아가더라도 엘레베이터를 이용할 수 있는 길 등 여러가지 질 중 선택할 수 있게 해줘.",7.962466,7.9607244,92,4,31,9,0,4,42,11,60,0,0.6521739130434783,0.45652173913043476,0.33695652173913043,0.09782608695652174,0.0,23.0,0.75,0.0,3,3,0.5
prompt_30,turn_08,P5,business,G2,16,FI,98.64,96.19,80.01,object,ideation,refinement,,백화점에 있는것처럼 큰 길안내 터치패드를 생성해줘. 핸드폰 말고,,,35,28,[프롬프트] 백화점에 있는것처럼 큰 길안내 터치패드를 생성해줘. 핸드폰 말고,8.383013,8.075976,22,2,7,2,1,1,10,2,21,0,0.9545454545454546,0.45454545454545453,0.3181818181818182,0.09090909090909091,0.045454545454545456,11.0,1.0,0.0,0,1,0.0
prompt_31,turn_09,P5,business,G2,16,FI,98.64,96.19,80.01,object,final,refinement,,이것처럼 생성해주는데 내가 말한 기능을 넣어서 생성해줘,reference,P5_turn_09.png,30,24,[프롬프트] 이것처럼 생성해주는데 내가 말한 기능을 넣어서 생성해줘,4.487818,5.3040686,20,1,3,2,0,2,5,4,15,0,0.75,0.25,0.15,0.1,0.0,20.0,1.0,0.0,0,1,0.0
prompt_32,turn_01,P6,business,G2,17,FI,99.59,67.53,93.87,object,ideation,initial,,"대학교의 지름길만 안내되어있는 지도를 제작할 거야. 다음 아이디어를 보고 구체적인 이미지로 제작해줘.
1. 디자인 목표 : 누구나 학교의 지름길들을 한눈에 알아볼 수 있는 지도
2. 대상 사용자 및 사용 상황 : 학생들이 연강이 있거나 다른 동으로 급히 이동해야 할 일이 생기는 경우 가장 빠른 길을 확인할 수 있도록 함
3. 디자인 구성 요소 : 최대한 깔끔하고 보기 편안한 디자인으로 만들어줘. 지름길 지도에서는 각 강의동의 출입구(몇 층인지 포함)와 경로를 한눈에 볼 수 있어야 해. 범례로 강의동 몇 층 - 강의동 몇 층으로 경로마다 연결된 강의동이 어디인지도 확인할 수 있게 부탁해.",,,331,246,"[프롬프트] 대학교의 지름길만 안내되어있는 지도를 제작할 거야. 다음 아이디어를 보고 구체적인 이미지로 제작해줘.
1. 디자인 목표 : 누구나 학교의 지름길들을 한눈에 알아볼 수 있는 지도
2. 대상 사용자 및 사용 상황 : 학생들이 연강이 있거나 다른 동으로 급히 이동해야 할 일이 생기는 경우 가장 빠른 길을 확인할 수 있도록 함
3. 디자인 구성 요소 : 최대한 깔끔하고 보기 편안한 디자인으로 만들어줘. 지름길 지도에서는 각 강의동의 출입구(몇 층인지 포함)와 경로를 한눈에 볼 수 있어야 해. 범례로 강의동 몇 층 - 강의동 몇 층으로 경로마다 연결된 강의동이 어디인지도 확인할 수 있게 부탁해.",9.107671,6.6220703,181,8,58,13,1,18,75,31,95,0,0.5248618784530387,0.4143646408839779,0.32044198895027626,0.0718232044198895,0.0055248618784530384,22.625,0.5555555555555556,0.0,8,8,0.5
